,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SKU,アカウント,Order No.,販売日,初回チャット,仕入日,国,販売額,購入済み,仕入れ,国内送料,SLS送料,ポイント加算,その他備考,梱包者,実重g,cm,cm,cm,サイズ,発送チャット,商品名,仕入れ先,領収書印刷,国内追跡番号,SLS追跡番号,ヤマト控え有無,,収支チェック
156,20260407_mizushima_ph_03,,260506P3GF6TSG,5/6,5/7,5/7,フィリピン,"₱4,069.00",TRUE,"¥6,936",¥865,₱481.00,207P,,5/8松丸,1066,34.5,25.5,17,77,,BANDAI SPIRITS MG 1/100 Gouf Ver.2.0 [Clear Color] Gundam Base Event Limited Mobile Suit Gundam Pre-colored Plastic Model Kit,Amazon,,2790-9968-1534,,FALSE,,FALSE
157,20260408_machida_ph_08,,260506P5NNJPPX,5/6,,,フィリピン,"₱4,968.00",FALSE,仕入れ無,,,,キャンセル,,,,,,0,,TAMASHII NATIONS S.H.Figuarts Star Wars Episode III: Revenge of the Sith Yoda -Classic Ver.- (STAR ​​WARS: Revenge of the Sith),,,,,FALSE,,FALSE
158,20260413_machida_ph_01_2,,260506P9DM4K84,5/6,5/7,5/7,フィリピン,"₱6,794.00",TRUE,"¥11,000","¥1,581","₱1,556.00",390P,,5/8町田,3224,40,18,58,116,,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 546 1/12 Lunchbox Black Edition 58546,,,2790-9968-0941,,FALSE,,TRUE
159,20260303_ishida_ph_01,,260506PM13EU37,5/6,5/7,5/7,フィリピン,"₱2,955.00",TRUE,"¥5,556",¥613,₱206.00,223P,,5/8,468,22.5,19,11,52.5,,GOOD SMILE COMPANY Nendoroid Goddess of Victory NIKKE Modernia Non-Scale Plastic Painted Movable Figure,Amazon,,2790-9968-1781,,FALSE,,TRUE
160,20260410_miyawaki_ph_01_9,,260506PNMKBSGD,5/6,5/7,4/27,フィリピン,"₱4,988.00",TRUE,"¥7,450",¥650,₱556.00,,,5/19湯浅,1180,36,21,17,74,,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,yahooフリマ,,1404-6157-2930,,FALSE,,FALSE
161,20260428_machida_ph_04_3,,260507QRRH99D0,5/7,5/7,5/7,フィリピン,"₱7,987.00",TRUE,"¥13,600","¥1,581","₱1,406.00",479P,,5/11松丸,2960,56,48.5,15.5,120,,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 727 Mitsubishi Pajero (CW-01 Chassis) 58727,楽天市場,,2791-0023-6925,,FALSE,,TRUE
162,20260422_mizushima_ph_01,,260507R9W3K5RG,5/7,5/8,5/8,フィリピン,"₱6,318.00",TRUE,"¥11,880",¥613,,1525P,配送失敗,5/11宮脇,440,17,24,14,55,,[Casio] G-SHOCK GD-010BEG-1JF Watch [Authentic Japanese Product] Made with eco-friendly materials Men's Black,Amazon,,2791-0023-6951,,FALSE,,FALSE
163,20260220_machida_ph_06,,260507RR6T4XSG,5/7,5/8,5/8,フィリピン,"₱10,325.00",TRUE,"¥20,745",,,721P,キャンセル,有在庫,,,,,0,,Shimano (SHIMANO) Baitcasting Reel Dual Axis 20 Thoreum 2000HG,Amazon,,,,FALSE,,FALSE
164,20260415_miyawaki_ph_03_8,,260507RXJHCYU4,5/7,5/8,5/8,フィリピン,"₱4,732.00",TRUE,"¥6,400",¥890,₱931.00,,,松本5/19,2034,39.5,33.5,27,100,,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,yahooフリマ,,1404-6157-2941,,FALSE,,FALSE
165,20260115_machida_sg_02,,260508SHQMCRHA,5/8,,,シンガポール,SDG60.63,FALSE,仕入れ無,,,,キャンセル,,,,,,0,,Kyocera Diamond Electric Roll Knife Sharpener,,,,,FALSE,,FALSE
166, 20260305_ishida_ph_05,,260508UBJR0VQ7,5/8,,,フィリピン,"₱3,258.00",FALSE,,,,,キャンセル,,,,,,0,,Nendoroid Character Vocal Series 02 Kagamine Rin & Len Kagamine Len 2.0 Non-scale Plastic Painted Action Figure,,,,,FALSE,,FALSE
167,20260428_miyawaki_ph_01_3,,260508UGBEKYC7,5/8,5/12,5/12,フィリピン,"₱6,433.00",TRUE,"¥9,900",¥650,₱606.00,,,松本5/20,1267,35,27.5,17,79.5,,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Kazuma Kuwabara MASTERLIZE Prize B Figure,メルカリ,,1404-6157-2812,,FALSE,,FALSE
168,20260430_machida_ph_14,,260508UKP105TH,5/8,,,フィリピン,"₱2,773.00",FALSE,,,,,キャンセル,,,,,,0,, [Direct From Japan] Barbie Birthday Wishes Latina Signature Dress-up Doll & House – Pretend Play – Barbie Doll – Ages 6+ – Pink – JJX78,,,,,FALSE,,FALSE
169,20260115_machida_sg_02,,2605090PWAC64N,5/9,5/12,5/12,シンガポール,SGD60.63,TRUE,"¥4,514",¥613,,135P,,5/13小森,507,19,23,12,54,,Kyocera Diamond Electric Roll Knife Sharpener,Amazon,,2791-0044-3506,,FALSE,,FALSE
170,20260428_mizushima_ph_06,,260508USBRFM9P,5/9,5/11,5/11,フィリピン,"₱2,114.00",TRUE,"¥2,973",¥865,₱281.00,89P,,松本5/12,610,35,32,9,76,,Fujimi Models 1/12 NEXT Series No. 1101 Honda Super Cub 50 Type Hello Kitty 12NX-1101,Amazon,,2791-0033-4273,,FALSE,,FALSE
171,20260422_ishida_ph_02_2,,260509W2MR1XC5,5/9,5/11,5/11,フィリピン,₱492.00,TRUE,¥691,¥613,₱106.00,20P,,,,,,,0,,[BANDAI]GODZIBURST Godzilla(2004),Amazon,,2791-0033-4844,,FALSE,,FALSE
172,20260430_machida_ph_14,,260509092U5V0C,5/9,,,フィリピン,"₱2,773.00",FALSE,,,,,キャンセル,,,,,,0,,[Direct From Japan] Barbie Birthday Wishes Latina Signature Dress-up Doll & House – Pretend Play – Barbie Doll – Ages 6+ – Pink – JJX78,,,,,FALSE,,FALSE
173,20260430_machida_ph_01,,260509092U5V0C,5/9,,,フィリピン,"₱5,567.00",FALSE,,,,,キャンセル,,,,,,0,,[Direct From Japan] Barbie Basic You Create Kit 1 YOU CREATE BARBIE BASICS™ Neutral Kit 001 Signature BLACK Dress-up dolls & houses Pretend play Barbie dolls Ages 6+ JJX35,,,,,FALSE,,FALSE
174,20260410_miyawaki_ph_01_9,,2605090BG4XFQ8,5/9,5/12,5/12,フィリピン,"₱4,988.00",TRUE,"¥7,000",¥650,,,配送失敗,松本5/20,1326,34.5,23.5,22.5,80.5,,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,メルカリ,,1404-6157-2801,,FALSE,,FALSE
175,20260430_machida_ph_04,,2605090NC5QWY8,5/9,5/11,5/11,フィリピン,"₱4,317.00",TRUE,"¥9,900",¥865,₱631.00,396P,,松本5/12,1353,37,30,11,78,,[Direct From Japan] Barbie Basic You Create Kit 3 YOU CREATE BARBIE BASICS™ Neutral Kit 003 Signature BLACK Dress-up dolls & houses Pretend play Barbie dolls Ages 6+ JJX37,Amazon,,2791-0033-4343,,FALSE,,FALSE
176, 20260430_machida_ph_03,,2605090SBTAX9E,5/9,5/11,5/11,フィリピン,"₱4,312.00",TRUE,"¥9,900",¥865,₱681.00,396P,,松本5/12,1429,38,30,11,79,,[Direct From Japan] Barbie Basic You Create Kit 2 YOU CREATE BARBIE BASICS™ Neutral Kit 002 Signature BLACK Dress-up dolls & houses Pretend play Barbie dolls Ages 6+ JJX36,Amazon,,2791-0033-4424,,FALSE,,FALSE
177,20260430_miyawaki_ph_01,,2605102F69UR6Q,5/10,,,フィリピン,"₱8,969.00",FALSE,,,,,キャンセル,,,,,,0,,Ichiban Kuji JoJo's Bizarre Adventure The Gathering of STARS Last One Prize Johnny Joestar & Gyro Zeppeli MASTERLISE PLUS Figure,,,,,FALSE,,FALSE
178,20260507_ishida_ph_01,,2605102TGSBT60,5/10,5/11,5/11,フィリピン,"₱4,451.00",TRUE,"¥11,800",¥865,₱431.00,336P,,松本5/12,909,35.5,26.5,16,78,,[HASBRO] Star Wars The Child Animatronic Edition Motorized Mandalorian Toy with Over 25 Combinations of Sounds and Movements | F1119,Amazon,,2791-0033-4645,,FALSE,,FALSE
179,20260423_machida_ph_05,,26051038E45EW8,5/10,5/11,5/11,フィリピン,"₱10,626.00",TRUE,"¥30,660","¥1,581","₱1,606.00",1010P,,松丸5/14,3260,62,42,15,119,,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 391 Hot Shot 2007 Off-Road 58391,Amazon,,2791-0053-2863,,FALSE,,FALSE
180,20260413_ishida_ph_01_2,,2605103BVUYW9W,5/10,5/12,5/12,フィリピン,"₱4,545.00",TRUE,"¥10,900",¥520,₱181.00,,,湯浅5/19,405,24,17,10,51,,[Good Smile Company] Nendoroid Teto Kasane 2.0+Special Base Included,yahooフリマ,,1404-6157-2860,,FALSE,,FALSE
181,20260415_miyawaki_ph_03_9,,2605114J27G9EE,5/11,5/12,5/12,フィリピン,"₱4,732.00",TRUE,"¥4,876",¥890,₱906.00,,,小栁5/20,1930,38,29,28,95,,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,yahooフリマ,,1404-6157-2764,,FALSE,,FALSE
182,20260424_mizushima_ph_05,,2605114U3A52Q1,5/11,5/11,5/11,フィリピン,"₱3,272.00",TRUE,"￥6,578",¥613,₱231.00,263P,,5/12小森,529,20,30,7,57,,"SALONIA Cordless Straightener 12mm Hair Straightener with Built-in Power Bank, Lightweight, Ideal for Bangs, Model SAL25119PK, Pink",Amazon,,2791-0033-4601,,FALSE,,FALSE
183,20260316_machida_ph_03_2,,26051152J04B87,5/11,5/11,5/11,フィリピン,"₱4,394.00",TRUE,"¥7,255","¥1,135",₱706.00,218P,,5/12小森,1515,45,37,17,99,,Bandai (Bandai) RG 1/144 GUNDAM SIDE-F Limited RX-93FF ν Gundam Mobile Suit Gundam Counterattack Char,Amazon,,2791-0033-4796,,FALSE,,FALSE
184,20260407_mizushima_ph_06,,26051154RXR9EX,5/11,5/11,5/11,フィリピン,"₱6,736.00",TRUE,"¥11,600","¥1,135",₱756.00,332P,,5/13松丸,1637,42,34,13.5,89.5,,BANDAI SPIRITS MG 1/100 Gundam Epyon EW [CROSS CONTRAST COLORS / CLEAR WHITE] Gundam Base Event Limited Edition Pre-colored Plastic Model Kit,Amazon,,2791-0044-4114,,FALSE,,FALSE
185,20260420_ishida_ph_06_2,,26051272273SJK,5/12,,,フィリピン,"₱2,794.00",FALSE,,,,,運営問合せ中,,,,,,0,,Nendoroid Blue Archive Ajitani Hifumi Non-scale Plastic Painted Movable Figure,,,,,FALSE,,FALSE
186,20260319_machida_ph_03,,2605127KAKGER3,5/12,5/12,5/12,フィリピン,"₱15,933.00",TRUE,"¥29,733","¥1,581","₱1,431.00",991P,,5/14小森,2994,41,64,13,118,,Tamiya 1/10 Electric RC Car Series No.719 BBX BB-01 Chassis 58719,Amazon,,2791-0055-7864,,,,FALSE
187,20260420_mizushima_ph_07_2,,2605128E1R82M3,5/12,,,フィリピン,"₱7,689.00",FALSE,,,,,キャンセル,,,,,,0,,[Gundam Base/Event Exclusive] MG 1/100 Sazabi Ver.Ka Mechanical Clear Model Kit from Mobile Suit Gundam: Char's Counterattack (Bandai Spirits),,,,,FALSE,,FALSE
188,20260410_miyawaki_ph_01_10,,2605128MGA5P96,5/12,5/12,5/13,フィリピン,"₱4,988.00",TRUE,"¥6,900","¥1,100",,,,5/27菅原,2101,43,36,24,103,,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,メルカリ,,1404-6157-2510,,FALSE,,FALSE
189,20260428_miyawaki_ph_01_4,,2605128MGA5P96,5/12,5/12,5/13,フィリピン,"₱6,433.00",TRUE,"¥9,888",↑同梱,,,,同梱,,,,,0,,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Kazuma Kuwabara MASTERLIZE Prize B Figure,メルカリ,,1404-6157-2510,,FALSE,,FALSE
190,20260415_miyawaki_ph_03_10,,2605139523N01V,5/13,5/13,5/13,フィリピン,"₱4,732.00",TRUE,"¥6,000",¥890,,,,5/22小栁,2003,39.5,29,25,93.5,,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,yahooフリマ,,1404-6157-2694,,FALSE,,FALSE
191,20260421_miyawaki_ph_01,,2605139XY12D3D,5/13,5/13,5/13,フィリピン,"₱14,233.00",TRUE,"¥23,484",¥890,,574P,配送失敗,5/22松丸,1826,36.5,27.5,26.5,90.5,,"MIC DiGiSM One and Only ""SLAM DUNK"" SHOHOKU STARTING MEMBER SET",yahooショッピング,,1404-6157-2705,,FALSE,,FALSE
192,20260407_miyawaki_ph_03,,260513AEYJD6QP,5/13,5/14,5/14,フィリピン,"₱3,539.00",TRUE,"¥5,900",¥865,,177P,配送失敗,5/15菅原,571,33,15,17,65,,Good Smile Arts Shanghai POP UP PARADE K-ON! Nakano Azusa L size Figure,Amazon,,2791-0066-8556,,FALSE,,FALSE
193,20260410_miyawaki_ph_01_11,,260513AMKPE2NM,5/13,5/14,5/14,フィリピン,"₱4,988.00",TRUE,"¥6,999",¥650,,,配送失敗,5/19小森,1241,20,36,17,73,,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,メルカリ,,1404-6157-2834,,FALSE,,FALSE
194,20260430_machida_ph_03_2,,260513ARTKPRFS,5/13,5/14,5/14,フィリピン,"₱4,312.00",TRUE,"¥9,900","¥1,135",₱731.00,198P,,5/15小森,1550,31,50,12,93,,[Direct From Japan] Barbie Basic You Create Kit 2 YOU CREATE BARBIE BASICS™ Neutral Kit 002 Signature BLACK Dress-up dolls & houses Pretend play Barbie dolls Ages 6+ JJX36,Amazon,,2791-0066-8884,,FALSE,,FALSE
195,20260430_machida_ph_04_2,,260513AU0F3UR9,5/13,5/14,5/14,フィリピン,"₱4,317.00",TRUE,"¥9,900","¥1,135",₱731.00,198P,,5/15小森,1553,50,31,12,93,,[Direct From Japan] Barbie Basic You Create Kit 3 YOU CREATE BARBIE BASICS™ Neutral Kit 003 Signature BLACK Dress-up dolls & houses Pretend play Barbie dolls Ages 6+ JJX37,Amazon,,2791-0066-8696,,FALSE,,FALSE
196,20260420_mizushima_ph_07_2,,260513B0F8BSU0,5/13,,,フィリピン,"₱7,689.00",FALSE,仕入れ無,,,,キャンセル,,,,,,0,,[Gundam Base/Event Exclusive] MG 1/100 Sazabi Ver.Ka Mechanical Clear Model Kit from Mobile Suit Gundam: Char's Counterattack (Bandai Spirits),,,,,FALSE,,FALSE
197,20260417_miyawaki_ph_04_6,,260514BJ75K36D,5/14,5/14,5/14,フィリピン,"₱8,569.00",TRUE,"¥11,100",,,,,5/28菅原&松丸,4620,70,46,24,140,,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,yahooフリマ,,1404-6157-2425,,FALSE,,FALSE
198,20260415_miyawaki_ph_03_11,,260514BJ75K36D,5/14,5/14,5/14,フィリピン,"₱4,732.00",TRUE,"¥6,150",,,,,↑同梱,,,,,0,,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,yahooフリマ,,,,FALSE,,FALSE
199,20260428_miyawaki_ph_01_5,,260514BKBUKB4T,5/14,,,フィリピン,"₱6,433.00",FALSE,仕入れ無,,,,キャンセル,,,,,,0,,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Kazuma Kuwabara MASTERLIZE Prize B Figure,,,,,FALSE,,FALSE
200,20260429_miyawaki_ph_01,,260514BKE077UE,5/14,5/14,5/14,フィリピン,"₱3,917.00",TRUE,"¥4,799","¥1,100","₱1,181.00",,,5/22松丸,2446,55.5,40,16,111.5,,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Prize D: Koenma MASTERLISE Figure,メルカリ,,1404-6157-2683,,FALSE,,FALSE
201,20260428_miyawaki_ph_01_5,,260514BKE077UE,5/14,5/14,5/14,フィリピン,"₱6,433.00",TRUE,"¥9,999",↑同梱,↑同梱,,,,,,,,0,,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Kazuma Kuwabara MASTERLIZE Prize B Figure,メルカリ,,,,FALSE,,FALSE
202,20260429_miyawaki_ph_02,,260514BKE077UE,5/14,5/14,5/14,フィリピン,"₱3,759.00",TRUE,"¥4,799",↑同梱,↑同梱,,,,,,,,0,,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Prize E Genkai MASTERLISE EMOVING Figure,メルカリ,,,,FALSE,,FALSE
203,20260420_mizushima_ph_09_2,,260514C596ASVK,5/14,5/14,5/14,フィリピン,"₱6,209.00",TRUE,"¥10,300","¥1,135",₱681.00,100P,,5/15松丸,1554,44,32,12.5,88.5,,[Gundam Base / Event Exclusive] MG 1/100 Wing Gundam Zero EW [CROSS CONTRAST COLORS / CLEAR PURPLE] Plastic Model Kit (Bandai Spirits),Amazon,,2791-0066-8486,,FALSE,,FALSE
204,20260415_miyawaki_ph_02,,260514CGAQTJNF,5/14,5/14,5/14,フィリピン,"₱4,104.00",TRUE,"¥7,366",¥613,₱206.00,148P,,5/15松本,508,22.5,19,17.5,59,,Final Fantasy VII Remake Adorable Arts <Aerith Gainsborough> Figure,Amazon,,2791-0066-8431,,FALSE,,FALSE
205,20260413_machida_ph_04,,260514D50BDFUY,5/14,5/14,5/15,フィリピン,"₱19,949.00",TRUE,"¥37,000","¥1,100",,370P,配送失敗,5/18松丸,5678,60.5,39.5,17,117,,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 415 RCC Toyota Tundra High Lift Off-Road 58415,Joshin,,1404-6157-2952,,FALSE,,FALSE
206,20260318_machida_ph_04,,260514D587435E,5/14,5/15,5/15,フィリピン,"₱24,199.00",TRUE,"¥46,340","¥1,100",,463P,配送失敗,5/18松丸,3636,60,44,20.5,124.5,,Tamiya 1/10 Electric RC Car Series No.583 Egress (2013) Off-road 58583 [New] [Authentic] [Shipped from Japan],Joshin,,1404-6157-3011,,FALSE,,FALSE
207,20260320_machida_ph_08,,260514D9F3G67H,5/14,5/15,5/15,フィリピン,"₱9,071.00",TRUE,"¥15,480","¥1,100","₱1,356.00",258P,,菅原5/18,2771,63,41,14,118,,Authentic Tamiya 1/10 Electric RC Car Series No.741 Fighter Nexgen (DT-04 Chassis) Electric Radio Control 58741,Amazon,,1404-6157-2985,,FALSE,,FALSE
208,20260423_ishida_ph_05_2,,260514DFRXQKH2,5/14,,,フィリピン,₱513.00,FALSE,仕入れ無,,,,キャンセル,,,,,,0,,[BANDAI]GODZIBURST Mechagodzilla (1993),,,,,FALSE,,FALSE
209,20260413_miyawaki_ph_01,,260514DR4MJV4J,5/14,,,フィリピン,"₱1,436.00",FALSE,仕入れ無,,,,キャンセル,,,,,,0,,Yu Yu Hakusho Figure: Youko Kurama (Dark Tournament),,,,,FALSE,,FALSE
210,20260415_miyawaki_ph_03_12,,260515DVDSF1UD,5/15,5/18,,フィリピン,"₱4,732.00",FALSE,,¥890,,,,5/28松丸,1939,37.5,27.5,24,89,,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,,1404-6157-2366,,FALSE,,FALSE
211,20260410_miyawaki_ph_01_12,,260515E2N6GBGS,5/15,5/18,,フィリピン,"₱4,988.00",FALSE,,¥650,,,,5/28湯浅,1206,33,24,21,78,,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,,,1404-6157-2392,,FALSE,,FALSE
212,20260507_mizushima_ph_02,,260515E96RQY60,5/15,,,フィリピン,"₱5,032.00",FALSE,仕入れ無,,,,キャンセル,,,,,,0,,[Gundam Base Exclusive] MG 1/100 Gundam Base Exclusive RX-78-2 Gundam Ver.3.0 [Clear Color] Mobile Suit Gundam (Bandai Spirits),,,,,FALSE,,FALSE
213,20260324_machida_ph_04_2,,260515EQQTTPE1,5/15,5/15,5/15,フィリピン,"₱9,236.00",TRUE,"¥15,462",¥890,"₱1,106.00",256P,,小森5/18,2320,45,34,21,100,,Authentic Tamiya 1/10 Scale Electric RC Car Series No. 747 Mini Cooper Racing (MB-01 Chassis) Electric Radio Control 58747,Amazon,,1404-6157-3000,,FALSE,,FALSE
214,20260423_ishida_ph_05_2,,260515EYKATBDS,5/15,5/15,5/15,フィリピン,₱513.00,TRUE,¥710,¥520,₱106.00,7P,,菅原5/18,273,25,24,10,59,,[BANDAI]GODZIBURST Mechagodzilla (1993),Amazon,,1404-6157-2996,,FALSE,,FALSE
215,20260417_miyawaki_ph_04_7,,260515F4CRCEQ1,5/15,5/15,5/18,フィリピン,"₱8,569.00",TRUE,"¥11,499",,,,,湯浅5/28,2884,51,39,29,119,,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,メルカリ,,1404-6157-2451,,FALSE,,FALSE
216,20260219_machida_sg_06_3,,260515G1J3FXC8,5/15,5/18,5/18,シンガポール,SDG89.55,TRUE,"¥6,930",¥520,,1688P,,松本5/19,300,32,19.5,8.5,60,,Seiko Watch ALBA Ghibli Collaboration Model Kiki's Delivery Service,Amazon,,1404-6157-2893,,FALSE,,FALSE
217,20260115_miyawaki_ph_02,,260515FA8YRCK6,5/15,5/18,5/18,フィリピン,"₱4,014.00",TRUE,"¥6,500",¥650,,,,湯浅5/28,1060,34,27,18,79,,Final Fantasy VII (FF7) Rebirth Release Kuji Cloud Strife Prize A Figure,yahooフリマ,,1404-6157-2355,,FALSE,,FALSE
218,20260512_miyawaki_ph_02,,260515FDQKT2NV,5/15,5/19,5/19,フィリピン,"₱3,260.00",TRUE,"¥4,580",¥650,,,,松本5/28,1047,31,32,19,82,,Ichiban Kuji Kingdom The Future of Qin Prize A Shin MASTERLIZE Figure,メルカリ,,1404-6157-2344,,FALSE,,FALSE
219,20260220_machida_ph_06_2,,260515G500PMU0,5/15,5/18,,フィリピン,"₱10,325.00",FALSE,,¥650,₱506.00,,有在庫,小森5/18,1074,32,24,13,69,,Shimano (SHIMANO) Baitcasting Reel Dual Axis 20 Thoreum 2000HG,,,1404-6157-2974,,FALSE,,FALSE
220,20260410_miyawaki_ph_01_13,,260516GNN159P9,5/16,,,フィリピン,"₱4,988.00",FALSE,仕入れ無,,,,キャンセル,,,,,,0,,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,,,,,FALSE,,FALSE
221,20260406_machida_ph_06,,260516GTFA98YM,5/16,5/19,5/19,フィリピン,"₱7,228.00",TRUE,"¥9,373","¥1,100","₱1,256.00",375P,,5/21松丸,2810,49.5,36.5,29.5,115.5,,Tamiya Male 1/10 Electric RC Car Series No. 645 SUBARU WRX STI NBR Challenge (TT-02 Chassis) On-Road 58645,Amazon,,1404-6157-2716,,FALSE,,FALSE
222,20260512_mizushima_ph_04,,260516H8J5HYNP,5/16,5/18,5/18,フィリピン,"₱5,874.00",TRUE,"¥11,000",¥890,₱606.00,320P,,松本5/19,1308,47.5,32,15.5,95,,[Gundam Base Exclusive] MG 1/100 Gundam Epyon EW [Special Coating] Pink [Bandai Spirits],Amazon,,1404-6157-2904,,FALSE,,FALSE
223,20260515_miyawaki_ph_01,,260516HB1SPHF5,5/16,5/19,5/19,フィリピン,"₱3,856.00",TRUE,"¥5,800",¥890,,,,5/28松丸,1147,29.5,30,29.5,89,,Ichiban Kuji WIND BREAKER Original 5th Anniversary Last One Prize: Sakura Umemiya Figure,yahooフリマ,,1404-6157-2333,,FALSE,,FALSE
224,20260417_miyawaki_ph_04_8,,260516HKBXY16U,5/16,5/18,5/18,フィリピン,"₱8,569.00",TRUE,"¥11,499",¥890,,,,松本5/28,2705,38.5,36.5,25,100,,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,メルカリ,,1404-6157-2322,,FALSE,,FALSE
225,20260504_ishida_ph_02,,260516HMD79GVC,5/16,5/18,5/18,フィリピン,₱624.00,TRUE,¥878,¥520,₱106.00,26P,,湯浅5/19,270,22,21,17,60,,[Bandai] JAPAN GODZILLA(2023) Mount Fuji,Amazon,,1404-6157-2926,,FALSE,,FALSE
226,20260408_ishida_ph_04,,260516J4XT3AQP,5/16,5/18,5/18,フィリピン,"₱2,869.00",TRUE,"¥7,576",¥520,₱206.00,303P,,湯浅5/19,465,25,21,11,57,,Good Smile Arts Shanghai Nura: Rise of the Yokai Clan Rikuo Nura [Night] Nendoroid Figure,Amazon,,1404-6157-2871,,FALSE,,FALSE
227,20260422_ishida_ph_05_2,,260516JCS413HF,5/16,5/18,5/18,フィリピン,₱512.00,TRUE,¥710,¥520,₱106.00,21P,,湯浅5/19,284,24,18,10,52,,[BANDAI]GODZIBURST Godzilla(2016),Amazon,,1404-6157-2915,,FALSE,,FALSE
228,20260415_miyawaki_ph_03_13,,260517JYWKVSPG,5/17,5/18,5/18,フィリピン,"₱4,732.00",TRUE,"¥6,200",¥890,,,,5/29松本,1870,38,30,28,96,,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,yahooフリマ,,1404-6157-2285,,FALSE,,FALSE
229,20260420_mizushima_ph_07_2,,260517KE54UF7E,5/17,5/18,5/18,フィリピン,"₱7,689.00",TRUE,"¥13,300","¥1,100","₱1,306.00",366P,,5/19松丸,2788,73,51,15,139,,[Gundam Base/Event Exclusive] MG 1/100 Sazabi Ver.Ka Mechanical Clear Model Kit from Mobile Suit Gundam: Char's Counterattack (Bandai Spirits),Amazon,,1404-6157-2856,,FALSE,,FALSE
230,20260512_miyawaki_ph_03,,260517KQSBQWPM,5/17,5/19,5/19,フィリピン,"₱2,948.00",TRUE,"¥4,099",¥650,,,,5/28湯浅,1162,26,25,18,69,,Ichiban Kuji Kingdom The Future of Qin Prize B Mouten MASTERLIZE Figure,メルカリ,,1404-6157-2311,,FALSE,,FALSE
231,20260511_mizushima_ph_04,,260517KR68M649,5/17,5/18,5/18,フィリピン,"₱7,976.00",TRUE,"¥13,760",¥890,,375P,キャンセル,5/19小森,1429,34,21,43,98,,[Gundam Base Limited Edition] RG 1/144 Hi-ν Gundam Mobile Suit Gundam Char's Counterattack [Titanium Finish] (Bandai Spirits),Amazon,,1404-6157-2845,,FALSE,,FALSE
232,20260407_machida_ph_07_3,,260517M6GFC2J8,5/17,5/18,,フィリピン,"₱2,258.00",FALSE,,¥520,₱131.00,,有在庫,小森5/18,310,29,17,5,51,,S.H.Figuarts ONE PIECE Monkey D. Luffy -Dawn of Adventure- Approximately 145mm ABS&PVC painted movable figure [Direct From Japan],,,1404-6157-2963,,FALSE,,FALSE
233,20260420_mizushima_ph_09_3,,260517MCDKDPRH,5/17,,,フィリピン,"₱6,211.00",FALSE,仕入れ無,,,,キャンセル,,,,,,0,,[Gundam Base / Event Exclusive] MG 1/100 Wing Gundam Zero EW [CROSS CONTRAST COLORS / CLEAR PURPLE] Plastic Model Kit (Bandai Spirits),,,,,FALSE,,FALSE
234,20260318_machida_ph_03,,260517MJU4X8UE,5/17,5/18,,フィリピン,"₱5,792.00",FALSE,,¥890,,,有在庫,松本5/18,2328,51,25,21,97,,TAMIYA 1/10 Electric R/C Car Series No.570 Lancia Delta Integrale (TT-02 Chassis) Onroad 58570,,,1404-6157-3022,,FALSE,,FALSE
